职位名称,工作地点,工资,工作经验,学历要求,公司名称,公司类型,公司规模,技术需求,标签
MES项目经理,厦门·海沧区·未来海岸,18-25K,3-5年,大专,法本,计算机软件已上市,10000人以上,MES,后端开发_C#
高级AI算法工程师,厦门·思明区·软件园,16-32k,3-5年,本科,北京博睿宏远,计算机软件已上市,500-999人,TensorFlow Keras ETL Spark,后端开发_C#
嵌入式Linux系统架构师,厦门,15-25K,5-10年,本科,立达信,电子/半导体/集成电路不需要融资,10000人以上,嵌入式技术 C语言 Linux,后端开发_C#
C++软件开发,厦门·集美区·杏林,14-28k,经验不限,本科,海峡智汇,计算机软件未融资,20-99人,C++ Linux 深度学习算法,后端开发_C#
iOS开发,厦门·思明区·观音山,17-35k,1-3年,本科,厦门铃盛软件有限公司,计算机软件已上市,1000-9999人,Swift,后端开发_C#
安全开发工程师,厦门·思明区·软件园,13-26K,3-5年,本科,美柚,移动互联网D轮及以上,500-999人,Lua Nginx,后端开发_C#
C++算法应用工程师,厦门·湖里区·五缘湾,15-30K,1-3年,本科,稿定科技,互联网不需要融资,500-999人,C++ OpenGL 引擎开发,后端开发_C#
存储系统资深研发工程师,厦门·思明区·会展中心,22-43k,经验不限,本科,厦门天猎运网络科技,互联网D轮及以上,100-499人,C/C++ Golang Boost,后端开发_C#
算法工程师,厦门,20-30K,1-3年,本科,奥佳华,医疗健康已上市,10000人以上,运动控制算法 算法设计 C++ Python lidar slam,后端开发_C#
算法研究员,厦门·集美区·杏林,21-43k,3-5年,本科,熵基科技,计算机软件不需要融资,1000-9999人,Python C++ 算法设计 深度学习算法,后端开发_C#
资深软件工程师（智能产品）,厦门,17-29k,5-10年,本科,厦门科牧,家具/家电/家居不需要融资,1000-9999人,单片机开发 EMC测试,后端开发_C#
UE4主程,厦门,17-35k,1-3年,大专,MetaApp,互联网C轮,500-999人,C++ 游戏 游戏开发,后端开发_C#
中级数据开发工程师,厦门,20-28k,3-5年,本科,好慷在家,O2OD轮及以上,10000人以上,Spark Hadoop HIVE,后端开发_C#
java工程师,厦门·思明区·观音山,11-22K,1-3年,本科,科蓝软件,计算机软件已上市,1000-9999人,Oracle Linux Unix SQL Server WebSphere,后端开发_C#
zadas软件工程师,厦门·集美区·杏林,18-31k,3-5年,本科,纵目科技,汽车生产D轮及以上,500-999人,C++ Linux,后端开发_C#
高级安全工程师（安全工具研发）,厦门·思明区·观音山,33-66k,经验不限,学历不限,网龙,移动互联网已上市,1000-9999人,Python Java 信息安全认证 数据安全 信息安全,后端开发_C#
NLP自然语言处理工程师,厦门·同安区·后田海鲜船坞,11-22K,1-3年,本科,美亚柏科,信息安全已上市,1000-9999人,Python Java 推荐算法 实体识别 知识图谱,后端开发_C#
运营开发（高级）软件工程师,厦门·思明区·轮渡,17-35k,3-5年,本科,腾讯,互联网不需要融资,10000人以上,Python Java Scala 大数据,后端开发_C#
云计算解决方案架构师,厦门·思明区·软件园,33-60k,5-10年,本科,阿里云,互联网已上市,10000人以上,分布式技术 微服务架构 负载均衡技术 容器技术,后端开发_C#
c++开发工程师,厦门·湖里区·蔡塘,8-13K,1-3年,大专,行棋网络,计算机软件未融资,0-20人,Windows 软件工程师 C++开发工程师,后端开发_C#
C++/Java工程师,厦门·集美区·杏林,4-8K,经验不限,本科,卡伦特,计算机软件A轮,20-99人,C++ Java 计算机软件 MySQL,后端开发_C#
嵌入式软件工程师,厦门·海沧区·东孚,5-10k,1-3年,本科,盈趣科技,智能硬件已上市,1000-9999人,嵌入式技术 网络协议 单片机开发 ARM开发 英语,后端开发_C#
高级C/C++开发工程师,厦门,15-25K,经验不限,本科,网宿科技,互联网已上市,1000-9999人,数据结构 网络协议 Linux 架构师,后端开发_C#
软件开发工程师,厦门·思明区·松柏,20-37k,经验不限,本科,华为,计算机软件不需要融资,10000人以上,Python Shell Java 数据结构 分布式技术,后端开发_C#
C++开发工程师 （实验室）,厦门·思明区·软件园,15-21k,1-3年,本科,美图公司,互联网已上市,1000-9999人,C++ ANDROID JNI OpenGL,后端开发_C#
Windows C++开发工程师,厦门,13-20K,3-5年,本科,4399游戏,游戏不需要融资,1000-9999人,多线程 网络协议 Socket技术 音视频编解码,后端开发_C#
Linux应用开发工程师,厦门·思明区·软件园,18-27k,3-5年,本科,星纵信息,通信/网络设备未融资,500-999人,SQL 嵌入式技术 多线程 架构师 Linux,后端开发_C#
C++开发工程师,厦门·思明区·软件园,9-15k,1-3年,本科,GPU Cloud,互联网天使轮,20-99人,Linux 后端开发 c++,后端开发_C#
C++开发工程师,厦门·思明区·软件园,10-16k,1-3年,学历不限,高德地图,互联网已上市,1000-9999人,VC++,后端开发_C#
泊车路径规划算法工程师,厦门·湖里区·湖里大道,15-30K,经验不限,硕士,同致电子科技(厦...,汽车零部件已上市,1000-9999人,算法设计 C++ Python,后端开发_C#
C++后台开发工程师,厦门·思明区·软件园,13-26k,3-5年,本科,福建星网锐捷通讯...,通信/网络设备已上市,1000-9999人,C++ sip 流媒体技术 PBX Linux mysql,后端开发_C#
安全开发,厦门,14-28K,3-5年,本科,美柚,移动互联网D轮及以上,500-999人,Python 网络安全 渗透测试,后端开发_C#
高级web前端开发工程师,厦门,13-26K,5-10年,本科,立达信,电子/半导体/集成电路不需要融资,10000人以上,前端开发 Linux,后端开发_C#
Unity3d客户端开发工程师,厦门,16-32k,3-5年,本科,吉比特,游戏已上市,500-999人,U3D开发 UE4开发 游戏引擎 C++ PC端,后端开发_C#
算法工程师,厦门,11-22K,1-3年,硕士,奥佳华,医疗健康已上市,10000人以上,运动控制算法 算法设计 C++ Python 嵌入式技术,后端开发_C#
iOS开发工程师,厦门·思明区·观音山,17-35k,3-5年,本科,厦门铃盛软件有限公司,计算机软件已上市,1000-9999人,Objective-C Swift C++ 音视频编解码,后端开发_C#
图像算法工程师,厦门·湖里区·五缘湾,20-30K,3-5年,本科,稿定科技,互联网不需要融资,500-999人,C++ 视觉图像算法 深度学习算法 算法设计,后端开发_C#
高级测试工程师,厦门·思明区·软件园,18-31k,3-5年,本科,中国电信云,计算机软件已上市,1000-9999人,软件测试 自动化测试 安全测试 测试开发 Linux,后端开发_C#
图像识别,厦门·集美区·杏林,21-43k,5-10年,本科,熵基科技,计算机软件不需要融资,1000-9999人,视觉图像算法 深度学习算法,后端开发_C#
ETL工程师,厦门·思明区·软件园,14-28k,3-5年,本科,建信金科,银行不需要融资,1000-9999人,SQL Shell Python Perl,后端开发_C#
高级安全工程师（数据安全）,厦门·思明区·观音山,33-66k,经验不限,学历不限,网龙,移动互联网已上市,1000-9999人,Python Java 信息安全认证 数据安全 信息安全,后端开发_C#
后台开发（高级）工程师,厦门·思明区·轮渡,17-35k,3-5年,本科,腾讯,互联网不需要融资,10000人以上,Python Java Scala 大数据,后端开发_C#
C++开发工程师,厦门·思明区·会展中心,10-15K,经验不限,本科,Manteia,医疗健康A轮,20-99人,C++ Windows QT 计算机软件 互联网医疗,后端开发_C#
安保人员/包住/高薪诚聘/厦门/中航C区,厦门·集美区·杏林,4-5K,经验不限,学历不限,众天环保,环保未融资,20-99人,包吃 包住 包吃包住 月休四天 退伍军人,后端开发_C#
